Step,Temp,E_pair,E_mol,TotEng,Press
8250,0.44848418,-2.2968193,0.058057733,-1.7906512,0.96673475
8300,0.45026207,-2.3021896,0.053742313,-1.7985604,0.94806875
8350,0.44588106,-2.3097334,0.065243534,-1.7989804,0.88584148
8400,0.43555655,-2.2879113,0.055580437,-1.7971373,1.1970274
8450,0.44761181,-2.29179,0.05802893,-1.7865223,1.0143771
8500,0.46318851,-2.3118055,0.04926438,-1.7997386,0.74252733
8550,0.4499796,-2.2860154,0.055588653,-1.7808221,0.86364773
8600,0.45129818,-2.3041665,0.063954578,-1.7892898,0.8599109
8650,0.45430552,-2.2958044,0.058234386,-1.7836431,0.93364563
8700,0.44579898,-2.3052465,0.059970927,-1.7998481,0.91444641
8750,0.4460576,-2.2909537,0.061145552,-1.7841223,0.96924556
8800,0.44851319,-2.3028555,0.061369138,-1.793347,0.84275917
8850,0.44495973,-2.2908313,0.067055245,-1.7791871,0.91517085
8900,0.44305747,-2.2885067,0.059731659,-1.7860868,0.93265259
8950,0.44828741,-2.2989281,0.060036554,-1.7909777,0.85202902
9000,0.43469451,-2.2923177,0.069488621,-1.7884968,0.86959892
9050,0.45390865,-2.3005471,0.067757418,-1.7792592,0.96322844
9100,0.4680587,-2.2971559,0.052414503,-1.7770728,0.85383124
9150,0.44744496,-2.2763504,0.057454899,-1.7718234,0.86954831
9200,0.46477488,-2.3081477,0.059334527,-1.7844256,0.83487603
9250,0.45871253,-2.3041379,0.062011,-1.7837966,0.88116151
9300,0.43461046,-2.2836122,0.068643986,-1.78072,0.9885326
9350,0.45447618,-2.3053221,0.064180127,-1.7870445,0.83702638
9400,0.44967777,-2.285077,0.05327677,-1.7824971,0.95338433
9450,0.46104274,-2.3118203,0.069675686,-1.781486,0.80004482
9500,0.45559309,-2.2987258,0.066310826,-1.7772015,0.82914271
9550,0.46011664,-2.291583,0.054780024,-1.7770697,0.94640164
9600,0.46374134,-2.3027434,0.059786791,-1.7796018,0.83025842
9650,0.45280702,-2.2948424,0.06621469,-1.7761981,0.96489561
9700,0.45194178,-2.2951618,0.058973038,-1.7846236,1.040757
9750,0.47723437,-2.3167337,0.062522414,-1.7773746,0.88705831
9800,0.45989096,-2.293147,0.060404638,-1.7732346,0.85283367
9850,0.45515467,-2.2956035,0.063845763,-1.7769824,0.89334139
9900,0.46161421,-2.3070715,0.066094755,-1.7797472,1.01145
9950,0.46551417,-2.3116951,0.059579367,-1.7869895,0.844352
10000,0.44397168,-2.2973278,0.071497859,-1.7822282,0.94717035
10050,0.47486184,-2.3251095,0.060477266,-1.7901661,0.78066854
10100,0.44282294,-2.2931745,0.070206808,-1.7805137,0.99591199
10150,0.44925041,-2.2907432,0.060976166,-1.780891,1.0312836
10200,0.45947614,-2.2990499,0.054308647,-1.785648,0.76927497
10250,0.44172795,-2.2808118,0.055614385,-1.7838376,0.94631663
10300,0.44353954,-2.2826526,0.055194898,-1.7842878,1.0301629
10350,0.44759628,-2.2827209,0.058327663,-1.77717,1.0388753
10400,0.44640612,-2.2820493,0.052657124,-1.7833581,0.98694829
10450,0.45626765,-2.303649,0.064515818,-1.7832458,0.9115455
10500,0.46693373,-2.2978768,0.052316159,-1.779016,0.97164754
10550,0.46137509,-2.2881898,0.054536624,-1.7726625,0.92656006
10600,0.45130597,-2.2870205,0.055431662,-1.780659,1.0336488
10650,0.45573078,-2.2961652,0.063657412,-1.7771568,0.96407147
10700,0.45315909,-2.3213766,0.076134376,-1.7924608,0.8419292
10750,0.4651627,-2.3159205,0.068723377,-1.7824221,0.79700956
10800,0.46585628,-2.3026403,0.060109098,-1.7770631,0.91681757
10850,0.44828105,-2.3076333,0.065226169,-1.7944996,0.87260472
10900,0.44572597,-2.2957407,0.068043475,-1.7823427,0.87631111
10950,0.44624287,-2.2880976,0.065019055,-1.7772075,0.86372069
11000,0.44038099,-2.2904627,0.072254312,-1.7781943,0.9325281
11050,0.4559008,-2.3082037,0.068098436,-1.7845844,0.83684705
11100,0.45788567,-2.3008003,0.06698203,-1.7763142,0.91513982
11150,0.43927033,-2.2797381,0.062057112,-1.7787767,0.92628284
11200,0.45,-2.3338442,0.071072162,-1.813147,0.66246517
11250,0.43062373,-2.2949174,0.056765051,-1.8078874,0.95604183
11300,0.44636758,-2.3168034,0.068121192,-1.8026866,0.8027289
11350,0.45780349,-2.3258433,0.064409376,-1.8040119,0.65938372
11400,0.44471795,-2.2985823,0.063733664,-1.7905013,0.83005912
11450,0.45252208,-2.2988146,0.055031967,-1.7916377,0.87935092
11500,0.44755415,-2.3142746,0.059530904,-1.8075625,0.804039
11550,0.43879047,-2.308676,0.063776675,-1.8064745,0.8770797
11600,0.44156797,-2.3065093,0.066765705,-1.7985436,0.77503985
11650,0.44701047,-2.3170774,0.063362999,-1.8070765,0.73053359
11700,0.44694244,-2.3208795,0.067854655,-1.8064548,0.68745048
11750,0.43159942,-2.3045329,0.063518693,-1.8097744,0.85605166
11800,0.44847759,-2.3308867,0.066619538,-1.8161633,0.72350859
11850,0.44564332,-2.3118551,0.057259336,-1.8093238,0.80082492
11900,0.44668199,-2.2986363,0.057325051,-1.7950015,0.78108747
11950,0.45144271,-2.3172098,0.063705706,-1.8024376,0.74250171
12000,0.45,-2.325919,0.061131598,-1.8151624,0.60908587
12050,0.4204745,-2.3171036,0.069167403,-1.8278121,0.70088836
12100,0.44372236,-2.3250429,0.058683466,-1.8230068,0.73230346
12150,0.44178928,-2.3143204,0.055083031,-1.8178162,0.81080285
12200,0.44265333,-2.3115774,0.057170794,-1.8121222,0.77009123
12250,0.45363944,-2.339461,0.062132614,-1.824067,0.6331922
12300,0.44399073,-2.3310453,0.055204414,-1.8322201,0.76966606
12350,0.4566829,-2.3384646,0.062919229,-1.8192431,0.70660489
12400,0.43957513,-2.3167372,0.056730192,-1.8207982,0.93336603
12450,0.44708939,-2.3188833,0.06357183,-1.8085947,0.8035969
12500,0.44263285,-2.3312906,0.067002777,-1.8220238,0.74559194
12550,0.43457311,-2.3169313,0.064102398,-1.8186179,0.76490701
12600,0.43491913,-2.3179487,0.065934629,-1.8174574,0.83779814
12650,0.44922144,-2.3173218,0.059933026,-1.8085416,0.66714106
12700,0.43516772,-2.3142208,0.062705486,-1.8167102,0.65799431
12750,0.42898785,-2.3208447,0.067484112,-1.8247302,0.66221336
12800,0.43519629,-2.3177689,0.05562793,-1.8273074,0.70878061
12850,0.4458269,-2.325183,0.058470543,-1.8212571,0.62443214
12900,0.44253736,-2.324982,0.065767187,-1.8170462,0.61186047
12950,0.45953025,-2.3305725,0.061534667,-1.8098905,0.52143656
13000,0.45,-2.3085443,0.067439708,-1.7914796,0.78425767
13050,0.46586949,-2.3093064,0.061403511,-1.7824216,0.79777015
13100,0.4667196,-2.3240574,0.060036681,-1.79769,0.86826219
13150,0.4493738,-2.3073597,0.061456028,-1.7969044,0.93815856
13200,0.44483373,-2.3115063,0.061223325,-1.80582,0.82677936
13250,0.45145274,-2.3146063,0.06362749,-1.7999023,0.85946713
13300,0.45314828,-2.3032078,0.059794291,-1.7906428,0.93815718
13350,0.4574361,-2.3172973,0.064960749,-1.7952816,0.73245166
13400,0.45338258,-2.3275245,0.06724948,-1.8072703,0.76186364
13450,0.45566611,-2.3121659,0.060525016,-1.7963545,0.91611313
13500,0.43813261,-2.2957996,0.061821642,-1.7962105,1.141405
13550,0.44998025,-2.3174119,0.059742717,-1.8080639,0.83686128
13600,0.45372594,-2.3241097,0.065643072,-1.8051188,0.81283032
13650,0.45407812,-2.3130606,0.06311999,-1.7962409,0.77494414
13700,0.44295622,-2.3059221,0.067908805,-1.7954262,0.81914962
13750,0.45468671,-2.3114438,0.063409156,-1.7937269,0.75534173
13800,0.45922916,-2.3130837,0.063665793,-1.7905715,0.81494546
13850,0.45355164,-2.3056332,0.059150968,-1.7933085,0.88205678
13900,0.45,-2.3254296,0.066739007,-1.8090655,0.760517
13950,0.4464279,-2.3151562,0.056655027,-1.8124453,0.85471819
14000,0.44960748,-2.3155295,0.055062736,-1.8112339,0.69131517
14050,0.42904843,-2.3056104,0.06484384,-1.8120757,0.99269912
14100,0.45,-2.3029886,0.057231827,-1.7961318,0.97801422
14150,0.45902767,-2.3155118,0.067290437,-1.7895762,0.81685127
14200,0.4517996,-2.3030049,0.059407152,-1.7921746,1.0012763
14250,0.43911461,-2.2904349,0.058582849,-1.7931033,1.0416534
14300,0.45295434,-2.3126853,0.056820214,-1.8032882,0.80034984
14350,0.44776649,-2.3124043,0.067969401,-1.7970415,0.80858015
14400,0.44965399,-2.3090313,0.067266084,-1.792486,0.80433952
14450,0.45689227,-2.2969432,0.055000966,-1.7854307,0.79210409
14500,0.45836863,-2.3146916,0.061687933,-1.7950171,0.73987738
14550,0.45542738,-2.3220016,0.070195492,-1.7967582,0.74245471
14600,0.46659521,-2.3174456,0.057969251,-1.79327,0.79028473
14650,0.45820583,-2.3036849,0.060075128,-1.7857858,0.97116263
14700,0.46279892,-2.3094737,0.06100385,-1.7860566,0.83811311
14750,0.45337314,-2.3113181,0.063559815,-1.794763,0.78683883
14800,0.45786752,-2.3104678,0.055500819,-1.7974811,0.83079618
14850,0.45792663,-2.3218886,0.06364365,-1.8006999,0.82420355
14900,0.44782211,-2.3069099,0.061860739,-1.7976002,0.74427209
14950,0.45423914,-2.306411,0.061760767,-1.7907896,0.8437836
15000,0.46618959,-2.3147112,0.063133789,-1.7857763,0.71279374
15050,0.45490946,-2.3162889,0.059041992,-1.8027166,0.783532
15100,0.46670302,-2.3099815,0.058643041,-1.7850244,0.75590495
15150,0.44624487,-2.309029,0.065293008,-1.797863,0.78159334
15200,0.44789972,-2.3118906,0.06357244,-1.8007917,0.87502205
15250,0.44374117,-2.3154208,0.06506995,-1.8069794,0.85396626
15300,0.46398142,-2.3143444,0.063619604,-1.78713,0.85307154
15350,0.47031113,-2.3322255,0.063245583,-1.7990607,0.67931385
15400,0.46522217,-2.3197506,0.058049061,-1.7968671,0.80699267
15450,0.44275307,-2.3084414,0.060935971,-1.8051213,0.99524432
15500,0.46475066,-2.3207368,0.064861317,-1.7915121,0.83816918
15550,0.4815544,-2.3405056,0.059122639,-1.8002299,0.74627615
15600,0.46019341,-2.3163364,0.061326282,-1.7952002,0.891352
15650,0.45955985,-2.3339379,0.067319663,-1.8074413,0.93844101
15700,0.46508919,-2.3274798,0.059817387,-1.8029608,0.91173088
15750,0.46737904,-2.3238009,0.065028515,-1.7917829,0.74508519
15800,0.46622492,-2.3182683,0.057708534,-1.7947233,0.78913186
15850,0.46893026,-2.3263796,0.059545805,-1.7982944,0.7954605
15900,0.46231329,-2.3172513,0.060847703,-1.7944756,0.85335302
15950,0.48065377,-2.3271383,0.05971592,-1.7871692,0.70681331
16000,0.46569065,-2.3209195,0.062416505,-1.7932004,0.7820775
16050,0.45273863,-2.2979352,0.057364056,-1.7882098,0.83964433
16100,0.45175707,-2.2876239,0.05550911,-1.7807341,0.82991807
16150,0.45891585,-2.3046952,0.060257284,-1.7859045,0.87378926
16200,0.45295898,-2.3044078,0.058633515,-1.7931928,0.87215261
16250,0.44226704,-2.2936816,0.059235508,-1.7925476,0.93318231
16300,0.45691693,-2.3096757,0.055840239,-1.7972993,0.74767179
16350,0.45083143,-2.30114,0.058020971,-1.7926633,0.81956624
16400,0.44978903,-2.3027069,0.06604343,-1.7872493,0.95574858
